Action Movie One Liners,"""Good. Bad. I'm the guy with the gun.""",Army of Darkness,They Live,Lawnmower Man,Deep Rising
Action Movie One Liners,"""No Ticket""",Indiana Jones and the Last Crusade,The Rock,GoldenEye,The Hunt for Red October
Action Movie One Liners,"""Get off my plane!""",Air Force One,Clear and Present Danger,Enemy of the State,Patriot Games
Action Movie One Liners,"""I live to see you eat that contract..but I hope you save enough room for my fist because I'm going to ram it into your God Damn stomach and break your God Damn spine!""",Running Man,Aliens,Pitch Black,Death Race
Action Movie One Liners,"""Dead or alive...you're coming with me""",RoboCop,Timecop,Hard Boiled,Face/Off
Action Movie One Liners,"I'm gonna take you to the bank, Senator Trent --to the blood bank!",Hard to Kill,Universal Soldier,Suburban Commando,The Rundown
Action Movie One Liners,You're a disease... And I'm the cure.,Cobra,Dr. McNinja,The Fugitive,Judge Dredd
Action Movie One Liners,Always bet on black.,Passenger 57,Shaft,Blackula,Casino Royale
Action Movie One Liners,I ain't got time to bleed.,Predator,Roadhouse,Point Break,Face/Off
Action Movie One Liners,Welcome to earth,Independence Day,Mars Attack,District 9,Cloverfield
Brewery Locations,Anchor,San Francisco CA,Patchogue NY,Temecula CA,San Diego CA
Brewery Locations,Sam Adams,Boston MA,Worcester MA,Portland ME,Portsmouth NH
Brewery Locations,Yuengling,Pottsville PA,Selinsgrove PA,South Range MI,Big Bear Lake CA
Brewery Locations,Dogfish Head ,Milton DE,Portsmouth OH,Portland OR,Topeka KS
Brewery Locations,Magic Hat,South Burlington VT,Middletown RI,Wichita KS,Cooperstown NY
Brewery Locations,Cigar City,Tampa FL,Peoria IL,Fort Bragg CA,Portland ME
Brewery Locations,Ommegang,Cooperstown NY,Newport News VA,Baton Rouge LA,Algona IA
Brewery Locations,Long Trail,Bridgewater Corners VE,Moreno Valley CA,Naperville IL,Athens-Clarke GA
Brewery Locations,Sierra Nevada,Chico CA,Seattle WA,Arvada CO,Lowell MA
Brewery Locations,Rogue,Newport OR,El Paso TX,San Bernardino CA,Anchorage AK
Beatles Songs Lead Singers,When I'm 64,Paul McCartney,Ringo Starr,George Harrison,John Lennon
Beatles Songs Lead Singers,Act Naturally,Ringo Starr,Paul McCartney,George Harrison,John Lennon
Beatles Songs Lead Singers,While My Guitar Gently Weeps,George Harrison,Ringo Starr,Paul McCartney,John Lennon
Beatles Songs Lead Singers,Nowhere Man,John Lennon,Ringo Starr,Paul McCartney,George Harrison
Beatles Songs Lead Singers,Twist and Shout,John Lennon,Ringo Starr,Paul McCartney,George Harrison
Beatles Song Lead Singers,Octopus's Garden,Ringo,John,Paul ,George
Beatles Song Lead Singers,Something,George,John,Paul,Ringo
Beatles Song Lead Singers,Dear Prudence,John,George,Ringo,Paul
Beatles Song Lead Singers,I've Just Seen A Face,Paul,John,George,Ringo
Beatles Song Lead Singers,Michelle,Paul,George,John,Ringo
Sports,"Penalties from this sport include pushing, tripping, holding, striking, intentional kicking, and charging from behind.",Soccer,Hockey,Rugby,Field Hockey
Sports,The four tournaments in the Grand Slam are?,"Australian Open, French Open, Wimbledon and US Open","Hamburg Masters, Tennis Masters Cup, Rogers Cup and Davis Cup","Monte Carlo Masters, Indian Wells, Italian Open and Dubai Tennis Championships","Hopman Cup, 
Indian Wells Masters, US Open and Fed Cup"
Sports,The Thrilla in Manila was between what two individuals?, Muhammad Ali and Joe Frazier, George Foreman and Muhammad Ali, Marvin Hagler and Thomas Hearns, Arnold Palmer and Jack Nicklaus
Sports,"Googly,Wicket,Gully, Dibbly-dobbly and Zooter are all terms from what sport?",Cricket,Curling,Cheese rolling,Slamball
Sports,How many team members are on a professional beach volleyball team?,2,6,8,4
Sports,Before moving to LA the Lakers were based out of which city?,Minneapolis,Buffalo,Salt Lake City,Milwaukee
Sports,Which sports franchise has won the most championships? ,New York Yankees,Montreal Canadiens,Boston Celtics,Green Bay Packers
Sports,"The ""Green Jacket"" is awarded to the winner of which event?",Masters Tournament,U.S. Open,PGA Championship,Wimbledon
Sports,"""The Drive"" refers to an event which occured in which sport?",Football,Baseball,Golf,Tennis
Sports,In 2011 this NFL team became the first to win its division with a losing record.,Seattle Seahawks,Arizona Cardinals,Cleveland Browns,Cincinnati Bengals
Simpsons Quotations,To alcohol! The cause of and solution to all of life's problems.,Homer vs. the Eighteenth Amendment,Duffless,Flaming Moes,Co-dependents Day
Simpsons Quotations,The goggles! They do nothing!,Radioactive Man,A Star is Burns,Itchy and Scratchy the Movie,Beyond Blunderdome
Simpsons Quotations,My sons's name is also Bort.,Itchy & Scratchy Land,You Only Move Twice,The City of New York vs. Homer Simpson,Cape Fear
Simpsons Quotations,Stop stop! He's already dead.,Homie The Clown,Treehouse of Horror III,Who Shot Mr. Burns? Part 1,Bart the Murderer
Simpsons Quotations,The bee bit my bottom!  Now my bottom's big!,Homer Goes to College,The Burns and the Bees,Lisa's Rival,I'm Spelling as Fast as I Can
Simpsons Quotations," I like my beer cold, my TV loud and my homosexuals fa-laming",Homer Phobia,Bart Star,Three Gays of the Condo,There's Something About Marrying
Simpsons Quotations," Are you saying ""boo"" or ""Boo-urns""?", A Star is Burns,Burns' Heir,Team Homer,The Springfield Connection
Simpsons Quotations,Blecch!  Ew!  Sheesh!  I'll take a crab juice,The City of New York vs. Homer Simpson,Guess Who's Coming to Criticize Dinner?,Lisa the Vegetarian,King-Size Homer
Simpsons Quotations,"Talking out of turn that's a paddling.Looking out the window that's a paddling.Staring at my sandals that's a paddling.Paddling the school canoe ooh, you better believe that's a paddling.",The PTA Disbands,Homer Loves Flanders,"Oh Brother, Where Art Thou?",Colonel Homer
Simpsons Quotations,"You know, a town with money is a little like the mule with the spinning wheel. No one knows how he got it and danged if he knows how to use it. ",Marge vs. the Monorail ,Two Bad Neighbors,Mr. Lisa Goes to Washington,Secrets of a Successful Marriage
Comics,"Stephanie Brown,Jason Todd and Carrie Kelly have all worn the mantle of?",Robin,Green Lantern,The Flash,Spider-Man
Comics,Wolverine was a member of what super hero team?,Alpha Flight,Doom Patrol,Metal Men,Nextwave
Comics,This character traded his marriage to Mephisto in order to keep a old old relative alive.,Peter Parker,Frank Castle,Guy Gardner,Reed Richards
Comics,This brother team created Love and Rockets,Los Bros Hernandez,The Wachowskis,The Allman Brothers ,Hemsworth Bros
Comics,Cerebus from Dave Sim's  long running comic was what kind of creature?,Aardvark,Three-Headed Dog,Human,Elf
Comics,Who was Booster Gold's best friend?,Blue Beetle,Bat-Mite,Captain Atom,Rip Hunter
Comics,What kind of animals were Americans in Maus?,Dogs,Pigs,Cats,Reindeer
Comics,Who was a villain in Grant Morrison's run on Animal Man?,Psycho Pirate,Mirror Master,Pied Piper,Weather WIzard
Comics,Name one of Dream's siblings from Sandman,Delirium,Doom,Destiny,Destruction
Comics,"The phrase ""Quis custodiet ipsos custodes?"" appears in what comic?",Watchmen,The League of Extraordinary Gentlemen,2000 AD ,All Star Superman
Metal,What band used a photograph of a bandmate's suicide as an album cover?,Mayhem,Cannibal Corpse,Finntroll,Gorgoroth
Metal,Who has the Guinness Book of World Records bestowed the title of Loudest Band in the World?,Manowar,Suffocation,Vader,Immortal
Metal,"Who are the ""Big Four"" of Thrash Metal?",Metallica Megadeth Slayer and Anthrax,Nuclear Assault Overkill Whiplash and Testament ,Sodom Coroner  Sepultura and Violater,Revocation Ramming Speed Municipal Waste and Terrordome
Metal,"The live album ""No Sleep 'til Hammersmith"" was recorded by what band?",Motorhead,Diamond Head,Venom,Thin Lizzy
Metal,"The song  ""I am the Black Wizards"" is by what band?",Emperor,Burzum,Darkthrone,Carcass
Metal, Eddie the Head is the mascot for what band?,Iron Maiden,Judas Priest,Helloween,Gamma Ray
Metal,This band's debut album was Scream Bloody Gore,Death,Atheist,Morgoth,Decrepit Birth
Metal,Mercyful Fate was fronted by this falsettoed singer,King Diamond,Rob Halford ,Hansi Kursch,Geoff Tate
Metal, Dimebag Darrell played guitar for this band,Pantera,Lamb of God,Sepultura,Anthrax
Metal,You don't have to be a cold irishman to enjoy this band's To Mega Therion,Celtic Frost,Darkthrone,Bathory,Obituary
Geography,Which state capital is located on the Merrimack River about 15 miles north of Manchester?,Concord,Montpelier,Providence,Boston
Geography,Roughly as large as the U.S. this desert is spread over 10 African nations,Sahara,Arabian,Gobi,Kalahari
Geography,El Paso TX was named because it was a major ford across which river?,Rio Grande,White River,Guadalupe River,Devils River
Geography,The Luzon Strait separates Taiwan from this country to the south.,Philippines,Cambodia,Thailand,Japan
Geography,This country has coastlines on both the Caribbean Sea and the Pacific Ocean.,Colombia,Venezuela,Peru,Ecuador
Geography," Kazanlak, 100 miles east of Sofia in the Valley of Roses of this country, is known for its roses used in perfumes",Bulgaria,Hungry,Romania,Moldova 
Geography,Icacos Point at the southwestern tip of Trinidad is only about 7 miles from the South American mainland & this country,Venezuela,Peru,Bolivia,Columbia
Geography,"Guyana shares the Acarai Mountains with this nation, its largest neighbor",Brazil,Suriname,Ecuador,Peru
Geography,Nuuk is the oldest Danish settlement on this island; it's also the capital,Greenland,Iceland,Holland,Crete
Geography,"Venice, Italy is the ""mistress of"" this arm of the Mediterranean",the Adriatic,Thracian Sea,Aegean Sea,Chukchi Sea
Sports by Movie,Mr. 3000,Baseball,Football,Tennis,Golf
Sports by Movie,Like Mike,Basketball,Baseball,Football,Hockey
Sports by Movie,Days of Thunder,Auto Racing,Football,Baseball,Basketball
Sports by Movie,Air Bud,Basketball,Football,Golf,Auto Racing
Sports by Movie,Miracle,Hockey,Football,Baseball,Basketball
Sports by Movie,Breaking Away,Cycling,Soccer,Hockey,Rugby
Sports by Movie,Chariots of Fire,Track,Horse Racing,Murderball,Caber Toss
Sports by Movie,The Hustler,Pool,Poker,Basketball,3 Card Monte
Sports by Movie,Raging Bull,Boxing,Bull Fighting,Rodeo,Lying
Sports by Movie,Brian's Song,Football,Competitive Karaoke,Baseball,Archery
Potpourri,"If you roll a standard 6-sided die and a 2 comes up this number is on the bottom",Five,Six,One,Three
Potpourri,"Both a religious and social event, a quinceanera celebrates a girl's passage to adulthood at this age",Fifteen,Thirteen,Twelve,Fourteen
Potpourri,In 1993 The New York Times Company paid $1.1 billion to acquire the Globe a newspaper in this city,Boston,London,Los Angeles,New York
Potpourri,In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,ABBA,Sigur Ros,The Hives,Bjork
Potpourri,Eli Whitney probably knew that many potpourris use the fruit of this plant of the genus Gossypium,Cotton,Cloves,Lavender,Cinnamon
Potpourri,"If you roll a standard 6-sided die & a 2 comes up, this number is on the bottom",5,4,3,6
Potpourri,The pillow type of this delicate fabric isn't made to sleep on; the pillow is the pad that holds the pattern,Lace,Tulle,Satin,Suede
Potpourri,Alfalfa has a long one of these primary roots; on older plants it can go down 50 feet,Taproot,Fibrous root,Adventitious roots ,Lateral roots
Potpourri," This title guy's pal says, ""That... hard-hearted wench, that Rosaline, torments him so, that he will sure run mad""",Romeo,Gatsby,Don Quixote,J. Alfred Prufrock
Potpourri,"This word that means bravery or valor comes from the Latin for ""heart""",Courage,Bravura,Temerity,Audacity
Live Action Christmas Movies,What former SNL cast member appeared as Arnold Schwarzenegger's neighbor in Jingle All the Way? ,Phil Hartman,Eddie Murphy,Rob Schneider,Dan Akroyd
Live Action Christmas Movies,In what building do the events in Die Hard take place?,Nakatomi Plaza ,Washington Dulles International Airport,Federal Reserve Bank of New York,Alcatraz
Live Action Christmas Movies,Who is the voice of Gizmo?,Howie Mandel,Billy West,Maurice LaMarche,Tree MacNeille
Live Action Christmas Movies,What was the collective name for the burglars in the first Home Alone?,Wet Bandits,Sticky Bandits,Silent Bandits,Yule Bandits
Live Action Christmas Movies,Who features as the homicidal former employee in Scrooged?,Bobcat Goldthwait,Howie Mandel,Bob Hoskins,Clint Howard
Animated Christmas Specials,Who animated How the Grinch Stole Christmas?,Chuck Jones,Tex Avery,Bob Clampett,Friz Freleng
Animated Christmas Specials,Who created the soundtrack to A Charlie Brown Christmas Special?,Vincent Guaraldi,John Williams,Howard Shore,Danny Elfman
Animated Christmas Specials,Who directed Nightmare Before Christmas?,Henry Selick,Tim Burton,Wes Craven ,Brad Bird
Animated Christmas Specials,Which Rankin/Bass special featured the Heat/Snow Misers?,The Year Without a Santa Claus,Santa Claus Is Comin' to Town,Jack Frost,Frosty the Snowman
Animated Christmas Specials,What piece of Holiday detritus got its own segment in the Animainiacs Christmas Special?,Wrapping Paper,A Gift Box,Ribbon,Tinsel
Fictional Weapons,Who wielded the sword Glamdring?,Gandalf,Thorin Oakenshield,Aragorn,Tom Bombadil
Fictional Weapons,What game allows you to fire The BFG9000?,Doom,Serious Sam,Duke Nukem,Return to Castle Wolfenstein 
Fictional Weapons,Who held the Gravity Gun?,Gordon Freeman,Master Chief,Andrew Ryan,Soldier G65434-2
Fictional Weapons,The Spread Gun helped mow down enemies in what game?,Contra,Radiant Silvergun,Metal Slug,Gunstar Heroes
Fictional Weapons,Who carries Mjolnir?,Thor,Odin,Yggdrasil,Beowulf
Fictional Weapons,What author created the Vorpal Blade?,Lewis Carrol,George R.R. Martin,Robert Jordan,Kilgore Trout
Fictional Weapons,The Proton Packs are carried by...?,The Ghostbusters,Spartans,Atomic Robo,Harry Dresden
Fictional Weapons,The Lawgiver is in the holster of...?,Judge Dredd,The Punisher,Juryman,The Executioner
Fictional Weapons,Who carries guns made from the melted down metal of Excalibur?,Roland Deschain,Arthur Bach,The Man With No Name,Quick Draw McGraw
Fictional Weapons,The Buster Sword aides what character?,Cloud Strife,Zidane Tribal,Tidus,Terra Branford
Fictional Races,Worf is a member of what race?,Klingon,Vulcan,Borg,Romulans
Fictional Races,This character is a Betelgeusian,Zaphod Beeblebrox,Beetlejuice,Dirk Gently,Dick Soloman
Fictional Races,The Buggers may have been misunderstood but they were the antagonist in what novel?,Ender's Game,Starship Troopers,Lexx,Mansquito
Fictional Races,The Alien Series features this race bursting out of peoples stomach:,Xenomorphs,The Flood,Metroid,Zerg
Fictional Races,"This race counts these names amoung its notable peoples: Bandobras ""Bullroarer"" Took, Fredegar ""Fatty"" Bolger, Hamfast Gamge and Meriadoc Brandybuck",Halflings,Gnomes ,Half-Elves,Otterlings
Fictional Races,"Yub nub, eee chop yub nub;
Ah toe meet toe peechee keene,
G'noop dock fling oh ah.",Ewoks,Tribbles,Ortolans,Voorpak
Fictional Races,These white hippopotomaus-like creatures hail from Finland.,Moomin,Barbar,Paddington,Beartato
Fictional Races,The Catbus transported characters in what film?,My Neighbor Totoro,Howl's Moving Castle,Kiki's Delivery Service,The Cat Empire
Fictional Races,"  What do you get when you guzzle down sweets
  Eating as much as an elephant eats
  What are you at, getting terribly fat
  What do you think will come of that
  I don't like the look of it",Oompa Loompa,Grunka Lunkas,Choose Goose,Muhammad AlI
Fictional Races,Should have listened to the Norwegians and steered clear of the alien race in this film.,The Thing,Dead Snow,Trollhunter,Cold Prey
Comedians by the Line,"My friend said to me, ""I think the weather's trippy."" I said, ""No, man, it's not the weather that's trippy, perhaps it is the way that we perceive it that is indeed trippy."" Then I thought, ""Man, I should have just said, 'Yeah.'""",Mitch Hedberg,Demitri Martin,Jimmy Carr,B.J. Novak
Comedians by the Line,"I saw a commercial for a chicken pot pie Hot Pocket. Now theyre just messing with us. Its not too long before ""Hey have you tried the Hot Pocket Hot Pocket? Its a Hot Pocket filled with a Hot Pocket. Tastes just like a Hot Pocket.",Jim Gaffigan,Patton Oswalt,Gary Gulman,Brian Regan
Comedians by the Line,"A man will rip off your arm and throw it into a river, but he will leave you as a human being intact. He won't mess with who you are. Women are non-violent but they will shit inside of your heart.",Louis C.K.,Bill Burr,Doug Stanhope,Kyle Kinane    
Comedians by the Line,"I love it when mothers get so mad they can't remember your name. ""Come here, Roy, er, Rupert, er, Rutabaga... what is your name, boy? And don't lie to me, because you live here, and I'll find out who you are."" ",Bill Cosby,Bob Newhart,Jerry Seinfeld,Ellen Degeneres
Comedians by the Line,"I went to a restaurant that serves ""breakfast at any time"". So I ordered French Toast during the Renaissance. ",Stephen Wright,Emo Phillips,Zach Galifianakis,Anthony Jeselnik
Comedians by the Line,"My father was a beekeeper before me, his father was a beekeeper. I want to follow in their footsteps. And their footsteps were like this.AAAAAAAH! I'm covered in beeeeees! ",Eddie Izzard,Billy Connolly,Sean Lock , Bill Bailey
Comedians by the Line," I like to use 'I Can't Believe it's Not Butter' on my toast in the morning, because sometimes when I eat breakfast, I like to be incredulous. How was breakfast? Unbelievable. ",Demetri Martin,Rich Hall,Sean Collins,Mike Birbiglia    
Comedians by the Line,"I went to see my doctor... Doctor Vidi-boom-ba. Yeah...I told him once, ""Doctor, every morning when I get up and look in the mirror I feel like throwing up. What's wrong with me? He said, ""I don't know, but your eyesight is perfect.""",Rodney Dangerfield,Sinbad,Robert Schimmel,Craig Shoemaker
Comedians by the Line,Have you ever noticed that their stuff is shit and your shit is stuff?,George Carlin,Bill Hicks,Sam Kinison,Richard Prior
Comedians by the Line,"Before you criticize someone, you should walk a mile in their shoes. That way when you criticize them, you are a mile away from them and you have their shoes",Jack Handy,David Sedaris,John Hodgman ,Simon Rich
Who is your Daddy?,Joffrey Baratheon,Jamie Lannister,Robert Baratheon,Stannis Baratheon,Ned Stark
Who is your Daddy?,Alucard,Dracula,Namflow,Dr. Nietsneknarf,Yummy
Who is your Daddy?,Mega Man,Dr.Light,Dr. Wiley,Dr. Robotnik,Dr. Demento
Who is your Daddy?,Scarlett Witch & Quicksilver,Magneto,Cyclops,Forge,Professor X
Who is your Daddy?,Silk Spectre II ,The Comedian,Nite Owl,Rorschach,Ozymandias
Who is your Daddy?,John Connor ,Kyle Reese,Edward Furlong,Robert Patrick,Mr. Of Mars
Who is your Daddy?,Steve Holt,GOB Bluth,Chareth Cutestory,Phillip Holt,Oscar Bluth
Who is your Daddy?,Dermott Fictel,Rusty Venture,Brock Samson,The Monarch,Phantom Limb
Who is your Daddy?,Eric Cartman,Jack Tenorman,1989 Denver Broncos,Liane Cartman,"Jerome ""Chef"" McElroy"
Who is your Daddy?,Relm Arrowny,Shadow,Strago Magus,Interceptor,Kefka Palazzo
Villian by Minion ,Foot Clan,Master Shredder,Baxter Stockman,Rat King,Leatherhead
Villian by Minion ,Spaceballs,Dark Helmet,Girth Plotz, Black Helmet Man,Hedley Lamarr
Villian by Minion ,Crazy 88,O-Ren Ishii,Vernita Green,Elle Driver,Karen Kim
Villian by Minion , Grand Order Of Occidental Nighthawks,The Penguin,Mr. Burns,The Vulture ,Thunderbird 
Villian by Minion ,Putties ,Rita Repulsa,Ivan Ooze,Hydro Hog,Terror Toad
Villian by Minion ,Lakitus,Bowser,Wario,Mother Brain,Andross
Villian by Minion ,Waddle Dees ,King Dedede,Eggplant Wizard,Kaptain K Rool,Zoda
Villian by Minion ,Sniper Joe,Dr. Wiley,Dr. Doom ,Dr. Steven Brule,Dr. Mindbender
Villian by Minion ,Servbots,Tron Bonne,Mike Nelson,Joel Hodgson,Reggie Roomba
Villian by Minion ,Uruk-hai,Saruman,Visser Three , Ernst Stavro Blofeld ,Shai'tan
Series by fictional geography,Arrakis,Dune,The Foundation Series,Lord of the Rings,Game of Thrones
Series by fictional geography,The Citadel,Mass Effect,Battlestar Galactica,Discworld,Aeon Flux
Series by fictional geography,Sunnydale California,Buffy the Vampire Slayer,Back to the Future,Sweet Valley High,Veronica Mars
Series by fictional geography,Bartertown,Mad Max,Jonah Hex,Full Throttle,Avatar: The Last Airbender
Series by fictional geography,Hill Valley California,Back to the Future,Buffy the Vampire Slayer,Karate Kid,Deadwood
Series by fictional geography,Midgar,Final Fantasy VII,The Chronicles of Prydain,Chronicles of Narnia,Breath of Fire
Series by fictional geography,Rapture,Bioshock,Sandman,The Dark Tower,Ender's Game
Series by fictional geography,Brobdingnag,Gulliver's Travels,Harry Potter,Earthsea,Mouse Guard
Series by fictional geography,Toontown,Who Framed Roger Rabbit?,Sam and Max,Tiny Toons,Comix Zone
Series by fictional geography,The 100 Acre Woods,Winnie the Pooh,Peter Rabbit,Sherlock Holmes,Fables
Attack its Weak Point,Martian Manhunter may love Oreos but his people most certainly do not love this,Fire,Yellow crystals,Earth's gravitational force,Hydrox
Attack its Weak Point,The Wicked Witch of the West tormented the denizens of OZ for too long before meeting her end by way of this,Bucket of Water,Aerial house,Flying Monkey,Kristen Chenoweth
Attack its Weak Point,After bathing in the blood of Fafnir Siegfried was invunerable except for this spot where a leaf was stuck to,Shoulder,Heel,Eye in the middle of his forehead,Wang
Attack its Weak Point,Robert Smith was able to punch this part of Mecha-Streisand to reveal the Diamond of Pantheos,Nose,Battery Pack,Vocal Cords,Ego Drive
Attack its Weak Point,You should pretty much give up playing this game if you don't know Superman is weak to this,Kryptonite,Batman,Career-Focused Brunettes,Appletinis
Attack its Weak Point,The colorblind amoung the DC Universe may not know the Green Lantern is weak against this color,Yellow,Red,Blue,Green
Attack its Weak Point,"Venom, Carnage and other symbiotes have two main weaknesses heat and this ",Sonics,Raid,Magnets,Gamma Rays
Attack its Weak Point,The designers of the Death Star were probably kicking themselves for leaving in this weak point,Exhaust Port,Rebel Laser Receptacle,Heat Sink,Panoramic Captain's Bridge
Attack its Weak Point,The Steel Inquisitors from the Mistborn Trilogy would perfer if you did not remove one of these from their bodies,Steel Spike,Linchpin,Lump of Coal,Ring
Attack its Weak Point,"Samson was probably pretty steamed at Delilah for her messing with this, the source of his super strength",Hair,Spinach,Technicolor Dream Coat,Plain White T
You forgot Ringo,"Mister Fantastic, Human Torch, and The Thing",Sue Storm,Mrs. Torch,Elastigirl,La Femme Fantastique
You forgot Ringo,"Moe, Larry, Curly",Shemp,Harpo,Shep,Baldy
You forgot Ringo,"Ness, Paula, and Jeff",Poo,Brendon,Jason,Melissa
You forgot Ringo,"War, Death, Famine ",Pestilence,Plague,Oblivion,Lawyers
You forgot Ringo,"Hannibal,Howling Mad Murdock and BA Barracus",Faceman,"Walter ""Radar"" O'Reilly",Hawkeye Pierce,Clifford C. Claven Jr.
You forgot Ringo,"Peter Venkman, Ray Stanz and Egon Spengler",Winston Zeddemore,Louis Tully,Winston Hudson,Ivan Reitman
You forgot Ringo," Freddie Mercury, Brian May and Roger Taylor ",John Deacon,Adam Clayton,Bill Wyman,John Entwistle
You forgot Ringo,"Athos, Porthos, and Aramis",D'Artagnan,Ethos,Valjean,Lestat
You forgot Ringo,"Johnny, Lisa and Mark",Denny,Dee Dee,Ed,Tommy
You forgot Ringo,"Roland, Eddie and Susannah",Jake,Oy,Cuthbert,Alain
"Bartender, Bartender make me a Drink",Orange Juice and Vodka,Screwdriver,Hamhock,Russian Sunrise,Cosmopolitan
"Bartender, Bartender make me a Drink","Rum, Sugar, Lime Juice, Sparkling Water and Mint",Mojito,Flaming Tambourine,Gimlet,Mai-Tai
"Bartender, Bartender make me a Drink"," Vodka, Coffee Liquer and Cream.",White Russian,Radial Tire,Cottonmouth,Mudslide
"Bartender, Bartender make me a Drink","Tequila,triple sec and Lime or Lemon juice",Margarita,Five Alive,Matador,Tequila Sunrise
"Bartender, Bartender make me a Drink","Whiskey, Sweet vermouth, and Bitters.",Manhattan,Double-Breasted Jacket,Tom Collins,Rusty Nail
"Bartender, Bartender make me a Drink"," Creme de menthe, Creme de cacao and fresh cream",Grasshopper,Bob's Your Uncle,Candy Cane,Toothy Paste
"Bartender, Bartender make me a Drink","Gin, Sweet Vermouth, and Campari",Negroni,Four O'Clock Shadow,"Campar-me, Bro",Gin Fizz
"Bartender, Bartender make me a Drink","Vodka, Cranberry juice and Grapefruit juice.",Sea Breeze,Tiny Tim,Bay Breeze,Pucker Puss
"Bartender, Bartender make me a Drink","Gosling's Black Seal rum, Ginger Beer and Lime",Dark and Stormy,Helen of Troy,Havana Cooler,Lima-Dima-Ding-Dong
"Bartender, Bartender make me a Drink",Forty of Malt Liquor and Orange Juice,Brass Monkey,King Henry's Mouthwash,Bechamel Sauce,Interglactic
Car Model/Manufactuer,Galaxie,Ford,Chevrolet,Datsun,Alfa-Romeo
Car Model/Manufactuer,Cooper,Mini,Mercedes,Austin-Healey,Land Rover
Car Model/Manufactuer,300Z,Nissan,Toyota,Tesla,BMW
Car Model/Manufactuer,Phantom,Rolls-Royce,TVR,Jaguar,Suzuki
Car Model/Manufactuer,Panda,Fiat,Mitsubishi,Bentley,Ford
Car Model/Manufactuer,Barracuda,Plymouth,Dodge,Renault,Aston Martin
Car Model/Manufactuer,Testarossa,Ferrari,Lamborghini,Alfa-Romeo,Citroen
Car Model/Manufactuer,NSX,Honda,HyundaI,BMW,Yugo
Car Model/Manufactuer,El Camino,Chevrolet,Dodge,AMC,Eagle
Car Model/Manufactuer,Gremlin,AMC,Infiniti,Lotus,Isuzu
Sidekicks to Center Stage,Sancho Panza,Don Quixote,Speedy Gonzalez,Inigo Montoya,Fierabras
Sidekicks to Center Stage,Bucky Barnes,Captain America,Captain Cowboy,Fascist Farmer,Dr. Strange
Sidekicks to Center Stage,Short Round,Indiana Jones,Green Hornet,Jack Burton,Gunga Din
Sidekicks to Center Stage,Luke,Professor Layton,Sherlock Holmes,Hercule Poirot,Lord Peter Wimsey
Sidekicks to Center Stage,Miles Prower,Sonic,Crash Bandicoot,Bubsy Bobcat,Spyro the Dragon
Sidekicks to Center Stage,Arthur,The Tick,Deadpool,The Evil Midnight Bomber What bombs at Midnight,Buster Bunny
Sidekicks to Center Stage,Ampersand,Yorick,Ross Geller,Marko,Jeff Winger
Sidekicks to Center Stage,Luggage,Rincewind ,Cogsworth,Merlin,Brave Little Toaster
Sidekicks to Center Stage,Companion,Dr. Who,GLaDOS,Inspector Spacetime,Arthur Dent
